1,2
ind acc avg: 0.4307,ind acc avg: 0.4610
1m 29s (- 6m 40s) (5500 18%) avg loss: 0.9955,1m 59s (- 8m 53s) (5500 18%) avg loss: 0.9774
avg bleu: 0.5422,avg bleu: 0.5483
running acc: 0.0120,running acc: 0.0040
ind acc avg: 0.4817,ind acc avg: 0.4767
1m 37s (- 6m 28s) (6000 20%) avg loss: 1.0082,2m 11s (- 8m 46s) (6000 20%) avg loss: 0.9428
avg bleu: 0.5381,avg bleu: 0.5560
running acc: 0.0040,running acc: 0.0080
ind acc avg: 0.4593,ind acc avg: 0.4973
1m 45s (- 6m 21s) (6500 21%) avg loss: 0.9438,2m 21s (- 8m 31s) (6500 21%) avg loss: 0.9129
avg bleu: 0.5631,avg bleu: 0.5840
running acc: 0.0100,running acc: 0.0060
ind acc avg: 0.4937,ind acc avg: 0.5203
1m 53s (- 6m 13s) (7000 23%) avg loss: 0.8652,2m 31s (- 8m 18s) (7000 23%) avg loss: 0.9419
avg bleu: 0.5823,avg bleu: 0.5725
running acc: 0.0240,running acc: 0.0120
ind acc avg: 0.5350,ind acc avg: 0.5160
2m 1s (- 6m 4s) (7500 25%) avg loss: 0.9068,2m 42s (- 8m 6s) (7500 25%) avg loss: 0.8811
avg bleu: 0.5573,avg bleu: 0.5927
running acc: 0.0040,running acc: 0.0040
ind acc avg: 0.4993,ind acc avg: 0.5260
2m 8s (- 5m 54s) (8000 26%) avg loss: 0.8520,2m 52s (- 7m 54s) (8000 26%) avg loss: 0.8534
avg bleu: 0.5993,avg bleu: 0.6055
running acc: 0.0140,running acc: 0.0160
ind acc avg: 0.5430,ind acc avg: 0.5490
2m 15s (- 5m 43s) (8500 28%) avg loss: 0.8434,3m 2s (- 7m 41s) (8500 28%) avg loss: 0.8833
avg bleu: 0.6033,avg bleu: 0.6045
running acc: 0.0180,running acc: 0.0100
ind acc avg: 0.5507,ind acc avg: 0.5460
2m 25s (- 5m 38s) (9000 30%) avg loss: 0.8913,3m 12s (- 7m 28s) (9000 30%) avg loss: 0.8304
avg bleu: 0.5919,avg bleu: 0.6161
running acc: 0.0200,running acc: 0.0100
ind acc avg: 0.5337,ind acc avg: 0.5543
2m 34s (- 5m 32s) (9500 31%) avg loss: 0.8362,3m 21s (- 7m 15s) (9500 31%) avg loss: 0.8599
avg bleu: 0.6183,avg bleu: 0.6151
running acc: 0.0140,running acc: 0.0160
ind acc avg: 0.5477,ind acc avg: 0.5547
2m 42s (- 5m 25s) (10000 33%) avg loss: 0.8159,3m 32s (- 7m 4s) (10000 33%) avg loss: 0.7881
avg bleu: 0.6095,avg bleu: 0.6305
running acc: 0.0140,running acc: 0.0160
ind acc avg: 0.5467,ind acc avg: 0.5767
2m 51s (- 5m 19s) (10500 35%) avg loss: 0.8148,3m 42s (- 6m 53s) (10500 35%) avg loss: 0.8662
avg bleu: 0.6108,avg bleu: 0.6023
running acc: 0.0180,running acc: 0.0180
ind acc avg: 0.5563,ind acc avg: 0.5510
3m 0s (- 5m 12s) (11000 36%) avg loss: 0.8061,3m 53s (- 6m 42s) (11000 36%) avg loss: 0.8415
avg bleu: 0.6308,avg bleu: 0.6110
running acc: 0.0120,running acc: 0.0200
ind acc avg: 0.5653,ind acc avg: 0.5640
3m 9s (- 5m 4s) (11500 38%) avg loss: 0.8308,4m 3s (- 6m 31s) (11500 38%) avg loss: 0.7789
avg bleu: 0.6205,avg bleu: 0.6333
running acc: 0.0220,running acc: 0.0080
ind acc avg: 0.5593,ind acc avg: 0.5767
3m 18s (- 4m 57s) (12000 40%) avg loss: 0.8377,4m 12s (- 6m 19s) (12000 40%) avg loss: 0.7930
avg bleu: 0.6239,avg bleu: 0.6333
running acc: 0.0220,running acc: 0.0120
ind acc avg: 0.5650,ind acc avg: 0.5700
3m 27s (- 4m 50s) (12500 41%) avg loss: 0.8042,4m 22s (- 6m 7s) (12500 41%) avg loss: 0.8345
avg bleu: 0.6163,avg bleu: 0.6126
running acc: 0.0160,running acc: 0.0080
ind acc avg: 0.5610,ind acc avg: 0.5643
3m 36s (- 4m 43s) (13000 43%) avg loss: 0.7864,4m 32s (- 5m 56s) (13000 43%) avg loss: 0.8540
avg bleu: 0.6325,avg bleu: 0.6202
running acc: 0.0220,running acc: 0.0140
ind acc avg: 0.5897,ind acc avg: 0.5547
3m 45s (- 4m 35s) (13500 45%) avg loss: 0.7970,4m 42s (- 5m 45s) (13500 45%) avg loss: 0.8327
avg bleu: 0.6326,avg bleu: 0.6301
running acc: 0.0280,running acc: 0.0140
ind acc avg: 0.5850,ind acc avg: 0.5717
3m 54s (- 4m 28s) (14000 46%) avg loss: 0.8093,4m 55s (- 5m 37s) (14000 46%) avg loss: 0.8292
avg bleu: 0.6343,avg bleu: 0.6269
running acc: 0.0220,running acc: 0.0040
ind acc avg: 0.5783,ind acc avg: 0.5650
4m 4s (- 4m 21s) (14500 48%) avg loss: 0.8581,5m 5s (- 5m 26s) (14500 48%) avg loss: 0.8197
avg bleu: 0.6191,avg bleu: 0.6324
running acc: 0.0100,running acc: 0.0060
ind acc avg: 0.5593,ind acc avg: 0.5713
4m 11s (- 4m 11s) (15000 50%) avg loss: 0.8318,5m 16s (- 5m 16s) (15000 50%) avg loss: 0.8481
avg bleu: 0.6378,avg bleu: 0.6308
running acc: 0.0180,running acc: 0.0100
ind acc avg: 0.5860,ind acc avg: 0.5720
4m 18s (- 4m 2s) (15500 51%) avg loss: 0.8223,5m 27s (- 5m 6s) (15500 51%) avg loss: 0.8153
avg bleu: 0.6319,avg bleu: 0.6294
running acc: 0.0100,running acc: 0.0140
ind acc avg: 0.5717,ind acc avg: 0.5770
4m 25s (- 3m 52s) (16000 53%) avg loss: 0.7684,5m 37s (- 4m 55s) (16000 53%) avg loss: 0.8039
avg bleu: 0.6558,avg bleu: 0.6473
running acc: 0.0200,running acc: 0.0120
ind acc avg: 0.6017,ind acc avg: 0.5830
4m 33s (- 3m 43s) (16500 55%) avg loss: 0.7729,5m 47s (- 4m 44s) (16500 55%) avg loss: 0.7715
avg bleu: 0.6515,avg bleu: 0.6545
running acc: 0.0220,running acc: 0.0180
ind acc avg: 0.5983,ind acc avg: 0.5987
4m 41s (- 3m 35s) (17000 56%) avg loss: 0.8298,5m 56s (- 4m 32s) (17000 56%) avg loss: 0.8393
avg bleu: 0.6399,avg bleu: 0.6408
running acc: 0.0140,running acc: 0.0180
ind acc avg: 0.5713,ind acc avg: 0.5753
4m 50s (- 3m 27s) (17500 58%) avg loss: 0.8384,6m 7s (- 4m 22s) (17500 58%) avg loss: 0.8396
avg bleu: 0.6327,avg bleu: 0.6427
running acc: 0.0160,running acc: 0.0180
ind acc avg: 0.5733,ind acc avg: 0.5760
4m 58s (- 3m 19s) (18000 60%) avg loss: 0.7788,6m 18s (- 4m 12s) (18000 60%) avg loss: 0.8033
avg bleu: 0.6553,avg bleu: 0.6488
running acc: 0.0360,running acc: 0.0220
ind acc avg: 0.6033,ind acc avg: 0.5890
5m 6s (- 3m 10s) (18500 61%) avg loss: 0.8340,6m 28s (- 4m 1s) (18500 61%) avg loss: 0.7991
avg bleu: 0.6394,avg bleu: 0.6429
running acc: 0.0120,running acc: 0.0220
ind acc avg: 0.5783,ind acc avg: 0.5830
5m 13s (- 3m 1s) (19000 63%) avg loss: 0.8035,6m 38s (- 3m 50s) (19000 63%) avg loss: 0.8442
avg bleu: 0.6516,avg bleu: 0.6429
running acc: 0.0260,running acc: 0.0220
ind acc avg: 0.5940,ind acc avg: 0.5937
5m 20s (- 2m 52s) (19500 65%) avg loss: 0.7859,6m 47s (- 3m 39s) (19500 65%) avg loss: 0.8452
avg bleu: 0.6625,avg bleu: 0.6379
running acc: 0.0220,running acc: 0.0140
ind acc avg: 0.6007,ind acc avg: 0.5797
5m 29s (- 2m 44s) (20000 66%) avg loss: 0.7828,6m 57s (- 3m 28s) (20000 66%) avg loss: 0.8843
avg bleu: 0.6633,avg bleu: 0.6305
running acc: 0.0180,running acc: 0.0120
ind acc avg: 0.6050,ind acc avg: 0.5693
5m 38s (- 2m 37s) (20500 68%) avg loss: 0.7932,7m 7s (- 3m 17s) (20500 68%) avg loss: 0.8445
avg bleu: 0.6579,avg bleu: 0.6371
running acc: 0.0180,running acc: 0.0140
ind acc avg: 0.6033,ind acc avg: 0.5780
5m 46s (- 2m 28s) (21000 70%) avg loss: 0.7605,7m 16s (- 3m 7s) (21000 70%) avg loss: 0.8092
avg bleu: 0.6627,avg bleu: 0.6503
running acc: 0.0220,running acc: 0.0260
ind acc avg: 0.6190,ind acc avg: 0.5977
5m 53s (- 2m 19s) (21500 71%) avg loss: 0.7687,7m 25s (- 2m 56s) (21500 71%) avg loss: 0.8461
avg bleu: 0.6611,avg bleu: 0.6464
running acc: 0.0080,running acc: 0.0200
ind acc avg: 0.5927,ind acc avg: 0.5887
6m 1s (- 2m 11s) (22000 73%) avg loss: 0.7645,7m 35s (- 2m 45s) (22000 73%) avg loss: 0.8136
avg bleu: 0.6711,avg bleu: 0.6501
running acc: 0.0380,running acc: 0.0080
ind acc avg: 0.6170,ind acc avg: 0.5873
6m 9s (- 2m 3s) (22500 75%) avg loss: 0.8365,7m 44s (- 2m 34s) (22500 75%) avg loss: 0.8521
avg bleu: 0.6471,avg bleu: 0.6487
running acc: 0.0220,running acc: 0.0220
ind acc avg: 0.5967,ind acc avg: 0.5800
6m 17s (- 1m 54s) (23000 76%) avg loss: 0.8372,7m 53s (- 2m 24s) (23000 76%) avg loss: 0.8052
avg bleu: 0.6518,avg bleu: 0.6564
running acc: 0.0220,running acc: 0.0260
ind acc avg: 0.5963,ind acc avg: 0.5977
6m 25s (- 1m 46s) (23500 78%) avg loss: 0.7779,8m 3s (- 2m 13s) (23500 78%) avg loss: 0.8133
avg bleu: 0.6623,avg bleu: 0.6471
running acc: 0.0220,running acc: 0.0220
ind acc avg: 0.6023,ind acc avg: 0.5970
6m 34s (- 1m 38s) (24000 80%) avg loss: 0.7821,8m 12s (- 2m 3s) (24000 80%) avg loss: 0.8981
avg bleu: 0.6670,avg bleu: 0.6337
running acc: 0.0180,running acc: 0.0100
ind acc avg: 0.6127,ind acc avg: 0.5697
6m 43s (- 1m 30s) (24500 81%) avg loss: 0.8522,8m 21s (- 1m 52s) (24500 81%) avg loss: 0.9585
avg bleu: 0.6480,avg bleu: 0.6135
running acc: 0.0160,running acc: 0.0120
ind acc avg: 0.5877,ind acc avg: 0.5470
6m 51s (- 1m 22s) (25000 83%) avg loss: 0.8682,8m 31s (- 1m 42s) (25000 83%) avg loss: 0.8722
avg bleu: 0.6561,avg bleu: 0.6389
running acc: 0.0120,running acc: 0.0180
ind acc avg: 0.5820,ind acc avg: 0.5807
7m 0s (- 1m 14s) (25500 85%) avg loss: 0.7847,8m 41s (- 1m 31s) (25500 85%) avg loss: 0.8577
avg bleu: 0.6592,avg bleu: 0.6567
running acc: 0.0220,running acc: 0.0160
ind acc avg: 0.6107,ind acc avg: 0.6010
7m 10s (- 1m 6s) (26000 86%) avg loss: 0.8517,8m 51s (- 1m 21s) (26000 86%) avg loss: 0.9445
avg bleu: 0.6589,avg bleu: 0.6313
running acc: 0.0120,running acc: 0.0220
ind acc avg: 0.5983,ind acc avg: 0.5673
7m 17s (- 0m 57s) (26500 88%) avg loss: 0.7740,9m 0s (- 1m 11s) (26500 88%) avg loss: 0.9291
avg bleu: 0.6731,avg bleu: 0.6299
running acc: 0.0240,running acc: 0.0180
ind acc avg: 0.6177,ind acc avg: 0.5623
7m 27s (- 0m 49s) (27000 90%) avg loss: 0.7928,9m 10s (- 1m 1s) (27000 90%) avg loss: 0.9235
avg bleu: 0.6676,avg bleu: 0.6324
running acc: 0.0220,running acc: 0.0240
ind acc avg: 0.6120,ind acc avg: 0.5730
0m 9s (- 9m 7s) (500 1%) avg loss: 0.8348,0m 11s (- 10m 58s) (500 1%) avg loss: 0.8872
avg bleu: 0.6522,avg bleu: 0.6361
running acc: 0.0200,running acc: 0.0180
ind acc avg: 0.6007,ind acc avg: 0.5770
0m 18s (- 8m 57s) (1000 3%) avg loss: 0.8211,0m 21s (- 10m 15s) (1000 3%) avg loss: 0.8286
avg bleu: 0.6637,avg bleu: 0.6549
running acc: 0.0180,running acc: 0.0220
ind acc avg: 0.6007,ind acc avg: 0.6033
0m 26s (- 8m 24s) (1500 5%) avg loss: 0.8264,0m 31s (- 10m 1s) (1500 5%) avg loss: 0.8614
avg bleu: 0.6563,avg bleu: 0.6409
running acc: 0.0140,running acc: 0.0080
ind acc avg: 0.6003,ind acc avg: 0.5797
0m 34s (- 8m 0s) (2000 6%) avg loss: 0.9241,0m 42s (- 9m 52s) (2000 6%) avg loss: 0.8652
avg bleu: 0.6228,avg bleu: 0.6435
running acc: 0.0200,running acc: 0.0220
ind acc avg: 0.5643,ind acc avg: 0.5750
0m 41s (- 7m 38s) (2500 8%) avg loss: 0.8263,0m 55s (- 10m 8s) (2500 8%) avg loss: 0.8811
avg bleu: 0.6611,avg bleu: 0.6267
running acc: 0.0100,running acc: 0.0260
ind acc avg: 0.5977,ind acc avg: 0.5840
0m 48s (- 7m 16s) (3000 10%) avg loss: 0.8731,1m 4s (- 9m 44s) (3000 10%) avg loss: 0.9092
avg bleu: 0.6598,avg bleu: 0.6387
running acc: 0.0160,running acc: 0.0120
ind acc avg: 0.5897,ind acc avg: 0.5827
0m 55s (- 7m 0s) (3500 11%) avg loss: 0.8790,1m 15s (- 9m 28s) (3500 11%) avg loss: 1.0362
avg bleu: 0.6507,avg bleu: 0.5980
running acc: 0.0200,running acc: 0.0100
ind acc avg: 0.5767,ind acc avg: 0.5297
1m 2s (- 6m 46s) (4000 13%) avg loss: 0.8657,1m 25s (- 9m 12s) (4000 13%) avg loss: 0.9239
avg bleu: 0.6555,avg bleu: 0.6239
running acc: 0.0160,running acc: 0.0080
ind acc avg: 0.5930,ind acc avg: 0.5663
1m 9s (- 6m 35s) (4500 15%) avg loss: 0.8390,1m 34s (- 8m 55s) (4500 15%) avg loss: 0.9460
avg bleu: 0.6627,avg bleu: 0.6308
running acc: 0.0120,running acc: 0.0160
ind acc avg: 0.5893,ind acc avg: 0.5667
1m 17s (- 6m 27s) (5000 16%) avg loss: 0.8640,1m 44s (- 8m 44s) (5000 16%) avg loss: 0.9867
avg bleu: 0.6526,avg bleu: 0.6182
running acc: 0.0220,running acc: 0.0140
ind acc avg: 0.5907,ind acc avg: 0.5503
1m 25s (- 6m 19s) (5500 18%) avg loss: 0.8535,1m 55s (- 8m 32s) (5500 18%) avg loss: 0.9318
avg bleu: 0.6461,avg bleu: 0.6335
running acc: 0.0200,running acc: 0.0120
ind acc avg: 0.5877,ind acc avg: 0.5700
1m 33s (- 6m 12s) (6000 20%) avg loss: 0.8886,2m 5s (- 8m 21s) (6000 20%) avg loss: 0.8899
avg bleu: 0.6519,avg bleu: 0.6469
running acc: 0.0140,running acc: 0.0140
ind acc avg: 0.5863,ind acc avg: 0.5797
1m 40s (- 6m 2s) (6500 21%) avg loss: 0.8928,2m 14s (- 8m 6s) (6500 21%) avg loss: 0.8551
avg bleu: 0.6421,avg bleu: 0.6409
running acc: 0.0160,running acc: 0.0220
ind acc avg: 0.5837,ind acc avg: 0.6003
1m 46s (- 5m 50s) (7000 23%) avg loss: 0.8486,2m 24s (- 7m 53s) (7000 23%) avg loss: 0.8887
avg bleu: 0.6537,avg bleu: 0.6504
running acc: 0.0120,running acc: 0.0260
ind acc avg: 0.5933,ind acc avg: 0.5930
1m 53s (- 5m 40s) (7500 25%) avg loss: 0.8979,2m 33s (- 7m 41s) (7500 25%) avg loss: 0.9010
avg bleu: 0.6420,avg bleu: 0.6437
running acc: 0.0200,running acc: 0.0120
ind acc avg: 0.5780,ind acc avg: 0.5763
2m 0s (- 5m 31s) (8000 26%) avg loss: 0.8769,2m 44s (- 7m 32s) (8000 26%) avg loss: 0.8911
avg bleu: 0.6562,avg bleu: 0.6425
running acc: 0.0180,running acc: 0.0140
ind acc avg: 0.5957,ind acc avg: 0.5887
2m 7s (- 5m 23s) (8500 28%) avg loss: 0.8942,2m 54s (- 7m 21s) (8500 28%) avg loss: 1.0216
avg bleu: 0.6446,avg bleu: 0.6090
running acc: 0.0100,running acc: 0.0160
ind acc avg: 0.5860,ind acc avg: 0.5460
2m 14s (- 5m 13s) (9000 30%) avg loss: 0.8357,3m 3s (- 7m 9s) (9000 30%) avg loss: 1.0636
avg bleu: 0.6507,avg bleu: 0.5980
running acc: 0.0180,running acc: 0.0100
ind acc avg: 0.5993,ind acc avg: 0.5333
2m 23s (- 5m 10s) (9500 31%) avg loss: 0.8330,3m 13s (- 6m 57s) (9500 31%) avg loss: 1.0695
avg bleu: 0.6575,avg bleu: 0.5989
running acc: 0.0120,running acc: 0.0040
ind acc avg: 0.5983,ind acc avg: 0.5253
2m 32s (- 5m 4s) (10000 33%) avg loss: 0.8353,3m 23s (- 6m 46s) (10000 33%) avg loss: 0.9510
avg bleu: 0.6640,avg bleu: 0.6299
running acc: 0.0180,running acc: 0.0140
ind acc avg: 0.6000,ind acc avg: 0.5707
2m 41s (- 4m 59s) (10500 35%) avg loss: 0.8304,3m 33s (- 6m 35s) (10500 35%) avg loss: 0.9794
avg bleu: 0.6622,avg bleu: 0.6243
running acc: 0.0260,running acc: 0.0100
ind acc avg: 0.6030,ind acc avg: 0.5557
2m 49s (- 4m 53s) (11000 36%) avg loss: 0.7988,3m 43s (- 6m 26s) (11000 36%) avg loss: 1.0035
avg bleu: 0.6705,avg bleu: 0.6108
running acc: 0.0360,running acc: 0.0040
ind acc avg: 0.6177,ind acc avg: 0.5447
2m 58s (- 4m 47s) (11500 38%) avg loss: 0.8470,3m 53s (- 6m 15s) (11500 38%) avg loss: 0.9999
avg bleu: 0.6637,avg bleu: 0.6073
running acc: 0.0180,running acc: 0.0080
ind acc avg: 0.6007,ind acc avg: 0.5460
3m 6s (- 4m 39s) (12000 40%) avg loss: 0.8921,4m 3s (- 6m 4s) (12000 40%) avg loss: 1.1124
avg bleu: 0.6529,avg bleu: 0.5817
running acc: 0.0240,running acc: 0.0080
ind acc avg: 0.5910,ind acc avg: 0.5153
3m 13s (- 4m 30s) (12500 41%) avg loss: 0.8874,4m 13s (- 5m 55s) (12500 41%) avg loss: 1.1305
avg bleu: 0.6503,avg bleu: 0.5795
running acc: 0.0220,running acc: 0.0060
ind acc avg: 0.5930,ind acc avg: 0.5120
3m 20s (- 4m 21s) (13000 43%) avg loss: 0.9386,4m 23s (- 5m 44s) (13000 43%) avg loss: 1.0107
avg bleu: 0.6330,avg bleu: 0.6102
running acc: 0.0180,running acc: 0.0180
ind acc avg: 0.5737,ind acc avg: 0.5480
3m 27s (- 4m 13s) (13500 45%) avg loss: 0.8993,4m 33s (- 5m 33s) (13500 45%) avg loss: 1.0841
avg bleu: 0.6519,avg bleu: 0.6015
running acc: 0.0160,running acc: 0.0140
ind acc avg: 0.5800,ind acc avg: 0.5343
3m 34s (- 4m 5s) (14000 46%) avg loss: 0.8921,4m 43s (- 5m 23s) (14000 46%) avg loss: 1.0154
avg bleu: 0.6508,avg bleu: 0.6071
running acc: 0.0200,running acc: 0.0080
ind acc avg: 0.5957,ind acc avg: 0.5397
3m 41s (- 3m 56s) (14500 48%) avg loss: 0.8998,4m 53s (- 5m 13s) (14500 48%) avg loss: 1.1086
avg bleu: 0.6460,avg bleu: 0.6101
running acc: 0.0160,running acc: 0.0100
ind acc avg: 0.5927,ind acc avg: 0.5413
3m 48s (- 3m 48s) (15000 50%) avg loss: 0.9225,5m 3s (- 5m 3s) (15000 50%) avg loss: 1.0373
avg bleu: 0.6395,avg bleu: 0.6139
running acc: 0.0220,running acc: 0.0080
ind acc avg: 0.5767,ind acc avg: 0.5463
3m 55s (- 3m 39s) (15500 51%) avg loss: 0.8560,5m 13s (- 4m 52s) (15500 51%) avg loss: 1.0335
avg bleu: 0.6478,avg bleu: 0.6041
running acc: 0.0140,running acc: 0.0140
ind acc avg: 0.5970,ind acc avg: 0.5273
4m 1s (- 3m 31s) (16000 53%) avg loss: 0.8896,5m 22s (- 4m 42s) (16000 53%) avg loss: 1.0257
avg bleu: 0.6472,avg bleu: 0.5984
running acc: 0.0140,running acc: 0.0080
ind acc avg: 0.5900,ind acc avg: 0.5280
4m 7s (- 3m 22s) (16500 55%) avg loss: 0.9213,5m 32s (- 4m 31s) (16500 55%) avg loss: 1.0029
avg bleu: 0.6467,avg bleu: 0.6157
running acc: 0.0200,running acc: 0.0100
ind acc avg: 0.5840,ind acc avg: 0.5473
4m 15s (- 3m 15s) (17000 56%) avg loss: 0.8788,5m 42s (- 4m 21s) (17000 56%) avg loss: 1.0590
avg bleu: 0.6491,avg bleu: 0.5894
running acc: 0.0120,running acc: 0.0100
ind acc avg: 0.5927,ind acc avg: 0.5313
4m 22s (- 3m 7s) (17500 58%) avg loss: 1.0036,5m 51s (- 4m 10s) (17500 58%) avg loss: 1.0446
avg bleu: 0.6306,avg bleu: 0.6020
running acc: 0.0140,running acc: 0.0220
ind acc avg: 0.5610,ind acc avg: 0.5340
4m 29s (- 2m 59s) (18000 60%) avg loss: 1.0936,6m 0s (- 4m 0s) (18000 60%) avg loss: 1.2811
avg bleu: 0.6032,avg bleu: 0.5605
running acc: 0.0220,running acc: 0.0100
ind acc avg: 0.5410,ind acc avg: 0.4887
4m 36s (- 2m 51s) (18500 61%) avg loss: 0.9779,6m 10s (- 3m 50s) (18500 61%) avg loss: 1.2008
avg bleu: 0.6223,avg bleu: 0.5691
running acc: 0.0100,running acc: 0.0040
ind acc avg: 0.5627,ind acc avg: 0.4890
4m 43s (- 2m 44s) (19000 63%) avg loss: 0.9357,6m 21s (- 3m 40s) (19000 63%) avg loss: 1.2114
avg bleu: 0.6343,avg bleu: 0.5627
running acc: 0.0140,running acc: 0.0040
ind acc avg: 0.5777,ind acc avg: 0.4943
4m 50s (- 2m 36s) (19500 65%) avg loss: 0.9435,6m 31s (- 3m 30s) (19500 65%) avg loss: 1.3154
avg bleu: 0.6302,avg bleu: 0.5499
running acc: 0.0120,running acc: 0.0000
ind acc avg: 0.5780,ind acc avg: 0.4790
4m 57s (- 2m 28s) (20000 66%) avg loss: 0.9832,6m 41s (- 3m 20s) (20000 66%) avg loss: 1.3265
avg bleu: 0.6231,avg bleu: 0.5448
running acc: 0.0100,running acc: 0.0020
ind acc avg: 0.5637,ind acc avg: 0.4660
5m 3s (- 2m 20s) (20500 68%) avg loss: 0.9372,6m 51s (- 3m 10s) (20500 68%) avg loss: 1.4291
avg bleu: 0.6303,avg bleu: 0.5374
running acc: 0.0140,running acc: 0.0060
ind acc avg: 0.5730,ind acc avg: 0.4647
5m 10s (- 2m 13s) (21000 70%) avg loss: 0.9705,7m 1s (- 3m 0s) (21000 70%) avg loss: 1.7740
avg bleu: 0.6331,avg bleu: 0.4740
running acc: 0.0100,running acc: 0.0020
ind acc avg: 0.5650,ind acc avg: 0.3890
5m 17s (- 2m 5s) (21500 71%) avg loss: 0.9797,7m 11s (- 2m 50s) (21500 71%) avg loss: 1.8102
avg bleu: 0.6177,avg bleu: 0.4668
running acc: 0.0100,running acc: 0.0000
ind acc avg: 0.5497,ind acc avg: 0.3517
5m 24s (- 1m 57s) (22000 73%) avg loss: 0.9713,7m 21s (- 2m 40s) (22000 73%) avg loss: 1.6139
avg bleu: 0.6398,avg bleu: 0.4866
running acc: 0.0140,running acc: 0.0000
ind acc avg: 0.5610,ind acc avg: 0.3863
5m 32s (- 1m 50s) (22500 75%) avg loss: 1.0283,7m 30s (- 2m 30s) (22500 75%) avg loss: 1.5838
avg bleu: 0.5992,avg bleu: 0.4982
running acc: 0.0120,running acc: 0.0020
ind acc avg: 0.5440,ind acc avg: 0.4010
5m 38s (- 1m 43s) (23000 76%) avg loss: 1.0697,7m 40s (- 2m 20s) (23000 76%) avg loss: 1.6193
avg bleu: 0.5870,avg bleu: 0.4727
running acc: 0.0100,running acc: 0.0000
ind acc avg: 0.5287,ind acc avg: 0.3757
5m 46s (- 1m 35s) (23500 78%) avg loss: 1.0257,7m 51s (- 2m 10s) (23500 78%) avg loss: 1.4732
avg bleu: 0.6106,avg bleu: 0.4997
running acc: 0.0120,running acc: 0.0000
ind acc avg: 0.5433,ind acc avg: 0.4087
5m 53s (- 1m 28s) (24000 80%) avg loss: 1.0064,8m 0s (- 2m 0s) (24000 80%) avg loss: 1.8111
avg bleu: 0.6192,avg bleu: 0.4750
running acc: 0.0220,running acc: 0.0020
ind acc avg: 0.5517,ind acc avg: 0.3810
6m 0s (- 1m 20s) (24500 81%) avg loss: 1.0312,8m 10s (- 1m 50s) (24500 81%) avg loss: 1.5527
avg bleu: 0.6202,avg bleu: 0.4903
running acc: 0.0100,running acc: 0.0020
ind acc avg: 0.5477,ind acc avg: 0.3913
6m 8s (- 1m 13s) (25000 83%) avg loss: 1.0474,8m 20s (- 1m 40s) (25000 83%) avg loss: 1.6195
avg bleu: 0.6161,avg bleu: 0.4751
running acc: 0.0080,running acc: 0.0000
ind acc avg: 0.5443,ind acc avg: 0.3787
